district,district_pcode,date,value
Nyarugenge,SIM-NYA,2023-12-01,59.42
Nyarugenge,SIM-NYA,2024-01-01,61.07
Nyarugenge,SIM-NYA,2024-02-01,65.45
Nyarugenge,SIM-NYA,2024-03-01,62.32
Nyarugenge,SIM-NYA,2024-04-01,68.41
Nyarugenge,SIM-NYA,2024-05-01,62.39
Nyarugenge,SIM-NYA,2024-06-01,59.83
Nyarugenge,SIM-NYA,2024-07-01,59.11
Nyarugenge,SIM-NYA,2024-08-01,57.67
Nyarugenge,SIM-NYA,2024-09-01,55.49
Nyarugenge,SIM-NYA,2024-10-01,51.82
Nyarugenge,SIM-NYA,2024-11-01,56.23
Nyarugenge,SIM-NYA,2024-12-01,58.54
Musanze,SIM-MUS,2023-01-01,62.13
Musanze,SIM-MUS,2023-02-01,60.35
Musanze,SIM-MUS,2023-03-01,62.41
Musanze,SIM-MUS,2023-04-01,57.41
Musanze,SIM-MUS,2023-05-01,62.13
Musanze,SIM-MUS,2023-06-01,64.02
Musanze,SIM-MUS,2023-07-01,57.67
Musanze,SIM-MUS,2023-08-01,56.59
Musanze,SIM-MUS,2023-09-01,56.79
Musanze,SIM-MUS,2023-10-01,54.31
Musanze,SIM-MUS,2023-11-01,58.21
Musanze,SIM-MUS,2023-12-01,63.26
Musanze,SIM-MUS,2024-01-01,58.86
Musanze,SIM-MUS,2024-02-01,66.51
Musanze,SIM-MUS,2024-03-01,63.15
Musanze,SIM-MUS,2024-04-01,58.35
Musanze,SIM-MUS,2024-05-01,63.79
Musanze,SIM-MUS,2024-06-01,59.52
Musanze,SIM-MUS,2024-07-01,58.27
Musanze,SIM-MUS,2024-08-01,58.79
Musanze,SIM-MUS,2024-09-01,55.12
Musanze,SIM-MUS,2024-10-01,61.1
Musanze,SIM-MUS,2024-11-01,53.81
Musanze,SIM-MUS,2024-12-01,63.47
Gicumbi,SIM-GIC,2023-01-01,65.32
Gicumbi,SIM-GIC,2023-02-01,67.52
Gicumbi,SIM-GIC,2023-03-01,65.45
Gicumbi,SIM-GIC,2023-04-01,66.69
Gicumbi,SIM-GIC,2023-05-01,66.8
Gicumbi,SIM-GIC,2023-06-01,63.68
Gicumbi,SIM-GIC,2023-07-01,60.68
Gicumbi,SIM-GIC,2023-08-01,58.29
Gicumbi,SIM-GIC,2023-09-01,59.34
Gicumbi,SIM-GIC,2023-10-01,61.03
Gicumbi,SIM-GIC,2023-11-01,61.61
Gicumbi,SIM-GIC,2023-12-01,67.06
Gicumbi,SIM-GIC,2024-01-01,65.11
Gicumbi,SIM-GIC,2024-02-01,69.35
Gicumbi,SIM-GIC,2024-03-01,72.93
Gicumbi,SIM-GIC,2024-04-01,69.98
Gicumbi,SIM-GIC,2024-05-01,64.37
Gicumbi,SIM-GIC,2024-06-01,66.55
Gicumbi,SIM-GIC,2024-07-01,68.28
Gicumbi,SIM-GIC,2024-08-01,65.77
Gicumbi,SIM-GIC,2024-09-01,63.15
Gicumbi,SIM-GIC,2024-10-01,67.2
Gicumbi,SIM-GIC,2024-11-01,65.98
Gicumbi,SIM-GIC,2024-12-01,67.74
Huye,SIM-HUY,2023-01-01,42.83
Huye,SIM-HUY,2023-02-01,48.77
Huye,SIM-HUY,2023-03-01,45.66
Huye,SIM-HUY,2023-04-01,45.94
Huye,SIM-HUY,2023-05-01,49.48
Huye,SIM-HUY,2023-06-01,40.97
Huye,SIM-HUY,2023-07-01,39.04
Huye,SIM-HUY,2023-08-01,41.69
Huye,SIM-HUY,2023-09-01,39.29
Huye,SIM-HUY,2023-10-01,39.31
Huye,SIM-HUY,2023-11-01,38.72
Huye,SIM-HUY,2023-12-01,45.85
Huye,SIM-HUY,2024-01-01,46.16
Huye,SIM-HUY,2024-02-01,50.37
Huye,SIM-HUY,2024-03-01,46.93
Huye,SIM-HUY,2024-04-01,46.29
Huye,SIM-HUY,2024-05-01,46.45
Huye,SIM-HUY,2024-06-01,46.18
Huye,SIM-HUY,2024-07-01,40.84
Huye,SIM-HUY,2024-08-01,38.05
Huye,SIM-HUY,2024-09-01,39.33
Huye,SIM-HUY,2024-10-01,43.99
Huye,SIM-HUY,2024-11-01,40.65
Huye,SIM-HUY,2024-12-01,44.61
Nyanza,SIM-NYZ,2023-01-01,43.87
Nyanza,SIM-NYZ,2023-02-01,39.6
Nyanza,SIM-NYZ,2023-03-01,49.81
Nyanza,SIM-NYZ,2023-04-01,48.39
Nyanza,SIM-NYZ,2023-05-01,47.67
Nyanza,SIM-NYZ,2023-06-01,41.84
Nyanza,SIM-NYZ,2023-07-01,38.82
Nyanza,SIM-NYZ,2023-08-01,38.98
Nyanza,SIM-NYZ,2023-09-01,33.43
Nyanza,SIM-NYZ,2023-10-01,36.44
Nyanza,SIM-NYZ,2023-11-01,41.23
Nyanza,SIM-NYZ,2023-12-01,38.04
Nyanza,SIM-NYZ,2024-01-01,43.75
Nyanza,SIM-NYZ,2024-02-01,50.82
Nyanza,SIM-NYZ,2024-03-01,44.75
Nyanza,SIM-NYZ,2024-04-01,45.39
Nyanza,SIM-NYZ,2024-05-01,45.05
Nyanza,SIM-NYZ,2024-06-01,45.83
Nyanza,SIM-NYZ,2024-07-01,39.77
Nyanza,SIM-NYZ,2024-08-01,38.32
Nyanza,SIM-NYZ,2024-09-01,38.77
Nyanza,SIM-NYZ,2024-10-01,40.3
Nyanza,SIM-NYZ,2024-11-01,37.46
Nyanza,SIM-NYZ,2024-12-01,40.0
Rwamagana,SIM-RWA,2023-01-01,53.43
Rwamagana,SIM-RWA,2023-02-01,57.91
Rwamagana,SIM-RWA,2023-03-01,56.72
Rwamagana,SIM-RWA,2023-04-01,58.24
Rwamagana,SIM-RWA,2023-05-01,52.55
Rwamagana,SIM-RWA,2023-06-01,46.87
Rwamagana,SIM-RWA,2023-07-01,50.26
Rwamagana,SIM-RWA,2023-08-01,46.2
Rwamagana,SIM-RWA,2023-09-01,47.33
Rwamagana,SIM-RWA,2023-10-01,44.78
Rwamagana,SIM-RWA,2023-11-01,48.6
Rwamagana,SIM-RWA,2023-12-01,45.49
Rwamagana,SIM-RWA,2024-01-01,52.13
Rwamagana,SIM-RWA,2024-02-01,54.16
Rwamagana,SIM-RWA,2024-03-01,54.74
Rwamagana,SIM-RWA,2024-04-01,53.27
Rwamagana,SIM-RWA,2024-05-01,50.69
Rwamagana,SIM-RWA,2024-06-01,47.97
Rwamagana,SIM-RWA,2024-07-01,47.14
Rwamagana,SIM-RWA,2024-08-01,45.94
Rwamagana,SIM-RWA,2024-09-01,44.77
Rwamagana,SIM-RWA,2024-10-01,43.66
Rwamagana,SIM-RWA,2024-11-01,45.9
Rwamagana,SIM-RWA,2024-12-01,50.18
Nyagatare,SIM-NYG,2023-01-01,52.75
Nyagatare,SIM-NYG,2023-02-01,56.74
Nyagatare,SIM-NYG,2023-03-01,57.67
Nyagatare,SIM-NYG,2023-04-01,55.25
Nyagatare,SIM-NYG,2023-05-01,51.46
Nyagatare,SIM-NYG,2023-06-01,51.53
Nyagatare,SIM-NYG,2023-07-01,46.62
Nyagatare,SIM-NYG,2023-08-01,50.34
Nyagatare,SIM-NYG,2023-09-01,46.66
Nyagatare,SIM-NYG,2023-10-01,42.4
Nyagatare,SIM-NYG,2023-11-01,54.97
Nyagatare,SIM-NYG,2023-12-01,53.19
Nyagatare,SIM-NYG,2024-01-01,58.55
Nyagatare,SIM-NYG,2024-02-01,61.5
Nyagatare,SIM-NYG,2024-03-01,56.24
Nyagatare,SIM-NYG,2024-04-01,60.29
Nyagatare,SIM-NYG,2024-05-01,57.95
Nyagatare,SIM-NYG,2024-06-01,55.26
Nyagatare,SIM-NYG,2024-07-01,51.51
Nyagatare,SIM-NYG,2024-08-01,54.66
Nyagatare,SIM-NYG,2024-09-01,47.77
Nyagatare,SIM-NYG,2024-10-01,51.09
Nyagatare,SIM-NYG,2024-11-01,51.51
Nyagatare,SIM-NYG,2024-12-01,58.88
Rubavu,SIM-RUB,2023-01-01,40.88
Rubavu,SIM-RUB,2023-02-01,45.11
Rubavu,SIM-RUB,2023-03-01,41.83
Rubavu,SIM-RUB,2023-04-01,42.54
Rubavu,SIM-RUB,2023-05-01,43.51
Rubavu,SIM-RUB,2023-06-01,36.14
Rubavu,SIM-RUB,2023-07-01,36.41
Rubavu,SIM-RUB,2023-08-01,38.15
Rubavu,SIM-RUB,2023-09-01,32.62
Rubavu,SIM-RUB,2023-10-01,37.16
Rubavu,SIM-RUB,2023-11-01,37.9
Rubavu,SIM-RUB,2023-12-01,43.63
Rubavu,SIM-RUB,2024-01-01,42.61
Rubavu,SIM-RUB,2024-02-01,46.18
Rubavu,SIM-RUB,2024-03-01,47.13
Rubavu,SIM-RUB,2024-04-01,46.49
Rubavu,SIM-RUB,2024-05-01,42.49
Rubavu,SIM-RUB,2024-06-01,41.79
Rubavu,SIM-RUB,2024-07-01,41.08
Rubavu,SIM-RUB,2024-08-01,36.36
Rubavu,SIM-RUB,2024-09-01,39.75
Rubavu,SIM-RUB,2024-10-01,37.12
Rubavu,SIM-RUB,2024-11-01,38.19
Rubavu,SIM-RUB,2024-12-01,41.03
