district_pcode,date,indicator,outcome
SIM-MUS,2023-05-01,sample_wellbeing_index,1
SIM-MUS,2023-06-01,sample_wellbeing_index,1
SIM-MUS,2023-07-01,sample_wellbeing_index,0
SIM-MUS,2023-08-01,sample_wellbeing_index,1
SIM-MUS,2023-09-01,sample_wellbeing_index,1
SIM-MUS,2023-10-01,sample_wellbeing_index,0
SIM-MUS,2023-11-01,sample_wellbeing_index,0
SIM-MUS,2023-12-01,sample_wellbeing_index,0
SIM-MUS,2024-01-01,sample_wellbeing_index,0
SIM-MUS,2024-02-01,sample_wellbeing_index,0
SIM-MUS,2024-03-01,sample_wellbeing_index,0
SIM-MUS,2024-04-01,sample_wellbeing_index,0
SIM-MUS,2024-05-01,sample_wellbeing_index,1
SIM-MUS,2024-06-01,sample_wellbeing_index,0
SIM-MUS,2024-07-01,sample_wellbeing_index,0
SIM-MUS,2024-08-01,sample_wellbeing_index,1
SIM-MUS,2024-09-01,sample_wellbeing_index,1
SIM-MUS,2024-10-01,sample_wellbeing_index,0
SIM-MUS,2024-11-01,sample_wellbeing_index,0
SIM-MUS,2024-12-01,sample_wellbeing_index,1
SIM-GIC,2023-01-01,sample_wellbeing_index,0
SIM-GIC,2023-02-01,sample_wellbeing_index,0
SIM-GIC,2023-03-01,sample_wellbeing_index,1
SIM-GIC,2023-04-01,sample_wellbeing_index,1
SIM-GIC,2023-05-01,sample_wellbeing_index,1
SIM-GIC,2023-06-01,sample_wellbeing_index,0
SIM-GIC,2023-07-01,sample_wellbeing_index,0
SIM-GIC,2023-08-01,sample_wellbeing_index,1
SIM-GIC,2023-09-01,sample_wellbeing_index,1
SIM-GIC,2023-10-01,sample_wellbeing_index,0
SIM-GIC,2023-11-01,sample_wellbeing_index,0
SIM-GIC,2023-12-01,sample_wellbeing_index,0
SIM-GIC,2024-01-01,sample_wellbeing_index,1
SIM-GIC,2024-02-01,sample_wellbeing_index,1
SIM-GIC,2024-03-01,sample_wellbeing_index,0
SIM-GIC,2024-04-01,sample_wellbeing_index,0
SIM-GIC,2024-05-01,sample_wellbeing_index,0
SIM-GIC,2024-06-01,sample_wellbeing_index,0
SIM-GIC,2024-07-01,sample_wellbeing_index,1
SIM-GIC,2024-08-01,sample_wellbeing_index,0
SIM-GIC,2024-09-01,sample_wellbeing_index,1
SIM-GIC,2024-10-01,sample_wellbeing_index,1
SIM-GIC,2024-11-01,sample_wellbeing_index,0
SIM-GIC,2024-12-01,sample_wellbeing_index,0
SIM-HUY,2023-01-01,sample_wellbeing_index,0
SIM-HUY,2023-02-01,sample_wellbeing_index,1
SIM-HUY,2023-03-01,sample_wellbeing_index,0
SIM-HUY,2023-04-01,sample_wellbeing_index,0
SIM-HUY,2023-05-01,sample_wellbeing_index,0
SIM-HUY,2023-06-01,sample_wellbeing_index,1
SIM-HUY,2023-07-01,sample_wellbeing_index,1
SIM-HUY,2023-08-01,sample_wellbeing_index,0
SIM-HUY,2023-09-01,sample_wellbeing_index,0
SIM-HUY,2023-10-01,sample_wellbeing_index,0
SIM-HUY,2023-11-01,sample_wellbeing_index,0
SIM-HUY,2023-12-01,sample_wellbeing_index,1
SIM-HUY,2024-01-01,sample_wellbeing_index,0
SIM-HUY,2024-02-01,sample_wellbeing_index,0
SIM-HUY,2024-03-01,sample_wellbeing_index,0
SIM-HUY,2024-04-01,sample_wellbeing_index,0
SIM-HUY,2024-05-01,sample_wellbeing_index,0
SIM-HUY,2024-06-01,sample_wellbeing_index,1
SIM-HUY,2024-07-01,sample_wellbeing_index,1
SIM-HUY,2024-08-01,sample_wellbeing_index,1
SIM-HUY,2024-09-01,sample_wellbeing_index,0
SIM-HUY,2024-10-01,sample_wellbeing_index,1
SIM-HUY,2024-11-01,sample_wellbeing_index,1
SIM-HUY,2024-12-01,sample_wellbeing_index,1
SIM-NYZ,2023-01-01,sample_wellbeing_index,1
SIM-NYZ,2023-02-01,sample_wellbeing_index,1
SIM-NYZ,2023-03-01,sample_wellbeing_index,1
SIM-NYZ,2023-04-01,sample_wellbeing_index,0
SIM-NYZ,2023-05-01,sample_wellbeing_index,0
SIM-NYZ,2023-06-01,sample_wellbeing_index,1
SIM-NYZ,2023-07-01,sample_wellbeing_index,0
SIM-NYZ,2023-08-01,sample_wellbeing_index,1
SIM-NYZ,2023-09-01,sample_wellbeing_index,1
SIM-NYZ,2023-10-01,sample_wellbeing_index,1
SIM-NYZ,2023-11-01,sample_wellbeing_index,0
SIM-NYZ,2023-12-01,sample_wellbeing_index,1
SIM-NYZ,2024-01-01,sample_wellbeing_index,0
SIM-NYZ,2024-02-01,sample_wellbeing_index,0
SIM-NYZ,2024-03-01,sample_wellbeing_index,1
SIM-NYZ,2024-04-01,sample_wellbeing_index,1
SIM-NYZ,2024-05-01,sample_wellbeing_index,0
SIM-NYZ,2024-06-01,sample_wellbeing_index,0
SIM-NYZ,2024-07-01,sample_wellbeing_index,0
SIM-NYZ,2024-08-01,sample_wellbeing_index,1
SIM-NYZ,2024-09-01,sample_wellbeing_index,0
SIM-NYZ,2024-10-01,sample_wellbeing_index,1
SIM-NYZ,2024-11-01,sample_wellbeing_index,1
SIM-NYZ,2024-12-01,sample_wellbeing_index,1
SIM-RWA,2023-01-01,sample_wellbeing_index,0
SIM-RWA,2023-02-01,sample_wellbeing_index,1
SIM-RWA,2023-03-01,sample_wellbeing_index,1
SIM-RWA,2023-04-01,sample_wellbeing_index,1
SIM-RWA,2023-05-01,sample_wellbeing_index,1
SIM-RWA,2023-06-01,sample_wellbeing_index,1
SIM-RWA,2023-07-01,sample_wellbeing_index,1
SIM-RWA,2023-08-01,sample_wellbeing_index,0
SIM-RWA,2023-09-01,sample_wellbeing_index,0
SIM-RWA,2023-10-01,sample_wellbeing_index,0
SIM-RWA,2023-11-01,sample_wellbeing_index,0
SIM-RWA,2023-12-01,sample_wellbeing_index,1
SIM-RWA,2024-01-01,sample_wellbeing_index,0
SIM-RWA,2024-02-01,sample_wellbeing_index,1
SIM-RWA,2024-03-01,sample_wellbeing_index,1
SIM-RWA,2024-04-01,sample_wellbeing_index,1
SIM-RWA,2024-05-01,sample_wellbeing_index,0
SIM-RWA,2024-06-01,sample_wellbeing_index,0
SIM-RWA,2024-07-01,sample_wellbeing_index,1
SIM-RWA,2024-08-01,sample_wellbeing_index,1
SIM-RWA,2024-09-01,sample_wellbeing_index,0
SIM-RWA,2024-10-01,sample_wellbeing_index,0
SIM-RWA,2024-11-01,sample_wellbeing_index,1
SIM-RWA,2024-12-01,sample_wellbeing_index,0
SIM-NYG,2023-01-01,sample_wellbeing_index,1
SIM-NYG,2023-02-01,sample_wellbeing_index,0
SIM-NYG,2023-03-01,sample_wellbeing_index,0
SIM-NYG,2023-04-01,sample_wellbeing_index,1
SIM-NYG,2023-05-01,sample_wellbeing_index,0
SIM-NYG,2023-06-01,sample_wellbeing_index,0
SIM-NYG,2023-07-01,sample_wellbeing_index,1
SIM-NYG,2023-08-01,sample_wellbeing_index,1
SIM-NYG,2023-09-01,sample_wellbeing_index,1
SIM-NYG,2023-10-01,sample_wellbeing_index,0
SIM-NYG,2023-11-01,sample_wellbeing_index,0
SIM-NYG,2023-12-01,sample_wellbeing_index,1
SIM-NYG,2024-01-01,sample_wellbeing_index,0
SIM-NYG,2024-02-01,sample_wellbeing_index,0
SIM-NYG,2024-03-01,sample_wellbeing_index,1
SIM-NYG,2024-04-01,sample_wellbeing_index,0
SIM-NYG,2024-05-01,sample_wellbeing_index,0
SIM-NYG,2024-06-01,sample_wellbeing_index,0
SIM-NYG,2024-07-01,sample_wellbeing_index,0
SIM-NYG,2024-08-01,sample_wellbeing_index,1
SIM-NYG,2024-09-01,sample_wellbeing_index,1
SIM-NYG,2024-10-01,sample_wellbeing_index,0
SIM-NYG,2024-11-01,sample_wellbeing_index,1
SIM-NYG,2024-12-01,sample_wellbeing_index,0
SIM-RUB,2023-01-01,sample_wellbeing_index,1
SIM-RUB,2023-02-01,sample_wellbeing_index,1
SIM-RUB,2023-03-01,sample_wellbeing_index,1
SIM-RUB,2023-04-01,sample_wellbeing_index,1
SIM-RUB,2023-05-01,sample_wellbeing_index,0
SIM-RUB,2023-06-01,sample_wellbeing_index,0
SIM-RUB,2023-07-01,sample_wellbeing_index,0
SIM-RUB,2023-08-01,sample_wellbeing_index,1
SIM-RUB,2023-09-01,sample_wellbeing_index,1
SIM-RUB,2023-10-01,sample_wellbeing_index,1
SIM-RUB,2023-11-01,sample_wellbeing_index,1
SIM-RUB,2023-12-01,sample_wellbeing_index,1
SIM-RUB,2024-01-01,sample_wellbeing_index,0
SIM-RUB,2024-02-01,sample_wellbeing_index,0
SIM-RUB,2024-03-01,sample_wellbeing_index,1
SIM-RUB,2024-04-01,sample_wellbeing_index,0
SIM-RUB,2024-05-01,sample_wellbeing_index,0
SIM-RUB,2024-06-01,sample_wellbeing_index,1
SIM-RUB,2024-07-01,sample_wellbeing_index,1
SIM-RUB,2024-08-01,sample_wellbeing_index,1
SIM-RUB,2024-09-01,sample_wellbeing_index,0
SIM-RUB,2024-10-01,sample_wellbeing_index,1
SIM-RUB,2024-11-01,sample_wellbeing_index,0
SIM-RUB,2024-12-01,sample_wellbeing_index,0
