reg,rev,date
Nyarugenge,57.67,01/08/2024
Nyarugenge,55.49,01/09/2024
Nyarugenge,51.82,01/10/2024
Nyarugenge,56.23,01/11/2024
Nyarugenge,58.54,01/12/2024
Musanze,62.13,01/01/2023
Musanze,60.35,01/02/2023
Musanze,62.41,01/03/2023
Musanze,57.41,01/04/2023
Musanze,62.13,01/05/2023
Musanze,64.02,01/06/2023
Musanze,57.67,01/07/2023
Musanze,56.59,01/08/2023
Musanze,56.79,01/09/2023
Musanze,54.31,01/10/2023
Musanze,58.21,01/11/2023
Musanze,63.26,01/12/2023
Musanze,58.86,01/01/2024
Musanze,66.51,01/02/2024
Musanze,63.15,01/03/2024
Musanze,58.35,01/04/2024
Musanze,63.79,01/05/2024
Musanze,59.52,01/06/2024
Musanze,58.27,01/07/2024
Musanze,58.79,01/08/2024
Musanze,55.12,01/09/2024
Musanze,61.1,01/10/2024
Musanze,53.81,01/11/2024
Musanze,63.47,01/12/2024
Gicumbi,65.32,01/01/2023
Gicumbi,67.52,01/02/2023
Gicumbi,65.45,01/03/2023
Gicumbi,66.69,01/04/2023
Gicumbi,66.8,01/05/2023
Gicumbi,63.68,01/06/2023
Gicumbi,60.68,01/07/2023
Gicumbi,58.29,01/08/2023
Gicumbi,59.34,01/09/2023
Gicumbi,61.03,01/10/2023
Gicumbi,61.61,01/11/2023
Gicumbi,67.06,01/12/2023
Gicumbi,65.11,01/01/2024
Gicumbi,69.35,01/02/2024
Gicumbi,72.93,01/03/2024
Gicumbi,69.98,01/04/2024
Gicumbi,64.37,01/05/2024
Gicumbi,66.55,01/06/2024
Gicumbi,68.28,01/07/2024
Gicumbi,65.77,01/08/2024
Gicumbi,63.15,01/09/2024
Gicumbi,67.2,01/10/2024
Gicumbi,65.98,01/11/2024
Gicumbi,67.74,01/12/2024
Huye,42.83,01/01/2023
Huye,48.77,01/02/2023
Huye,45.66,01/03/2023
Huye,45.94,01/04/2023
Huye,49.48,01/05/2023
Huye,40.97,01/06/2023
Huye,39.04,01/07/2023
Huye,41.69,01/08/2023
Huye,39.29,01/09/2023
Huye,39.31,01/10/2023
Huye,38.72,01/11/2023
Huye,45.85,01/12/2023
Huye,46.16,01/01/2024
Huye,50.37,01/02/2024
Huye,46.93,01/03/2024
Huye,46.29,01/04/2024
Huye,46.45,01/05/2024
Huye,46.18,01/06/2024
Huye,40.84,01/07/2024
Huye,38.05,01/08/2024
Huye,39.33,01/09/2024
Huye,43.99,01/10/2024
Huye,40.65,01/11/2024
Huye,44.61,01/12/2024
Nyanza,43.87,01/01/2023
Nyanza,39.6,01/02/2023
Nyanza,49.81,01/03/2023
Nyanza,48.39,01/04/2023
Nyanza,47.67,01/05/2023
Nyanza,41.84,01/06/2023
Nyanza,38.82,01/07/2023
Nyanza,38.98,01/08/2023
Nyanza,33.43,01/09/2023
Nyanza,36.44,01/10/2023
Nyanza,41.23,01/11/2023
Nyanza,38.04,01/12/2023
Nyanza,43.75,01/01/2024
Nyanza,50.82,01/02/2024
Nyanza,44.75,01/03/2024
Nyanza,45.39,01/04/2024
Nyanza,45.05,01/05/2024
Nyanza,45.83,01/06/2024
Nyanza,39.77,01/07/2024
Nyanza,38.32,01/08/2024
Nyanza,38.77,01/09/2024
Nyanza,40.3,01/10/2024
Nyanza,37.46,01/11/2024
Nyanza,40.0,01/12/2024
Rwamagana,53.43,01/01/2023
Rwamagana,57.91,01/02/2023
Rwamagana,56.72,01/03/2023
Rwamagana,58.24,01/04/2023
Rwamagana,52.55,01/05/2023
Rwamagana,46.87,01/06/2023
Rwamagana,50.26,01/07/2023
Rwamagana,46.2,01/08/2023
Rwamagana,47.33,01/09/2023
Rwamagana,44.78,01/10/2023
Rwamagana,48.6,01/11/2023
Rwamagana,45.49,01/12/2023
Rwamagana,52.13,01/01/2024
Rwamagana,54.16,01/02/2024
Rwamagana,54.74,01/03/2024
Rwamagana,53.27,01/04/2024
Rwamagana,50.69,01/05/2024
Rwamagana,47.97,01/06/2024
Rwamagana,47.14,01/07/2024
Rwamagana,45.94,01/08/2024
Rwamagana,44.77,01/09/2024
Rwamagana,43.66,01/10/2024
Rwamagana,45.9,01/11/2024
Rwamagana,50.18,01/12/2024
Nyagatare,52.75,01/01/2023
Nyagatare,56.74,01/02/2023
Nyagatare,57.67,01/03/2023
Nyagatare,55.25,01/04/2023
Nyagatare,51.46,01/05/2023
Nyagatare,51.53,01/06/2023
Nyagatare,46.62,01/07/2023
Nyagatare,50.34,01/08/2023
Nyagatare,46.66,01/09/2023
Nyagatare,42.4,01/10/2023
Nyagatare,54.97,01/11/2023
Nyagatare,53.19,01/12/2023
Nyagatare,58.55,01/01/2024
Nyagatare,61.5,01/02/2024
Nyagatare,56.24,01/03/2024
Nyagatare,60.29,01/04/2024
Nyagatare,57.95,01/05/2024
Nyagatare,55.26,01/06/2024
Nyagatare,51.51,01/07/2024
Nyagatare,54.66,01/08/2024
Nyagatare,47.77,01/09/2024
Nyagatare,51.09,01/10/2024
Nyagatare,51.51,01/11/2024
Nyagatare,58.88,01/12/2024
Rubavu,40.88,01/01/2023
Rubavu,45.11,01/02/2023
Rubavu,41.83,01/03/2023
Rubavu,42.54,01/04/2023
Rubavu,43.51,01/05/2023
Rubavu,36.14,01/06/2023
Rubavu,36.41,01/07/2023
Rubavu,38.15,01/08/2023
Rubavu,32.62,01/09/2023
Rubavu,37.16,01/10/2023
Rubavu,37.9,01/11/2023
Rubavu,43.63,01/12/2023
Rubavu,42.61,01/01/2024
Rubavu,46.18,01/02/2024
Rubavu,47.13,01/03/2024
Rubavu,46.49,01/04/2024
Rubavu,42.49,01/05/2024
Rubavu,41.79,01/06/2024
Rubavu,41.08,01/07/2024
Rubavu,36.36,01/08/2024
Rubavu,39.75,01/09/2024
Rubavu,37.12,01/10/2024
Rubavu,38.19,01/11/2024
Rubavu,41.03,01/12/2024
