region_name,collection_date,feature_1,feature_2
Nyarugenge,1-Mar-23,46.76,23.67
Nyarugenge,1-Apr-23,61.56,19.58
Nyarugenge,1-May-23,41.67,17.67
Nyarugenge,1-Jun-23,55.58,26.67
Nyarugenge,1-Jul-23,50.52,20.09
Nyarugenge,1-Aug-23,46.46,19.03
Nyarugenge,1-Sep-23,27.29,12.52
Nyarugenge,1-Oct-23,50.83,21.95
Nyarugenge,1-Nov-23,44.18,26.33
Nyarugenge,1-Dec-23,56.39,14.3
Nyarugenge,1-Jan-24,55.96,15.21
Nyarugenge,1-Feb-24,46.81,17.18
Nyarugenge,1-Mar-24,54.91,21.95
Nyarugenge,1-Apr-24,48.13,17.49
Nyarugenge,1-May-24,38.05,24.9
Nyarugenge,1-Jun-24,45.19,23.35
Nyarugenge,1-Jul-24,44.02,13.77
Nyarugenge,1-Aug-24,56.13,15.78
Nyarugenge,1-Sep-24,38.37,11.61
Nyarugenge,1-Oct-24,46.93,19.95
Nyarugenge,1-Nov-24,32.79,26.94
Nyarugenge,1-Dec-24,32.07,19.69
Musanze,1-Jan-23,50.08,28.4
Musanze,1-Feb-23,48.26,12.06
Musanze,1-Mar-23,48.52,19.65
Musanze,1-Apr-23,35.02,16.73
Musanze,1-May-23,53.1,15.68
Musanze,1-Jun-23,43.9,16.19
Musanze,1-Jul-23,52.22,15.46
Musanze,1-Aug-23,49.46,11.79
Musanze,1-Sep-23,47.59,18.7
Musanze,1-Oct-23,36.52,21.61
Musanze,1-Nov-23,35.59,19.5
Musanze,1-Dec-23,39.36,12.93
Musanze,1-Jan-24,44.1,22.1
Musanze,1-Feb-24,42.63,33.19
Musanze,1-Mar-24,27.09,19.58
Musanze,1-Apr-24,50.74,19.0
Musanze,1-May-24,60.05,17.57
Musanze,1-Jun-24,42.13,20.4
Musanze,1-Jul-24,27.86,22.93
Musanze,1-Aug-24,67.79,19.92
Musanze,1-Sep-24,61.7,19.92
Musanze,1-Oct-24,49.51,18.46
Musanze,1-Nov-24,34.82,19.65
Musanze,1-Dec-24,48.73,20.8
Gicumbi,1-Jan-23,40.79,31.28
Gicumbi,1-Feb-23,52.16,32.23
Gicumbi,1-Mar-23,42.22,12.22
Gicumbi,1-Apr-23,46.98,15.79
Gicumbi,1-May-23,57.52,23.85
Gicumbi,1-Jun-23,43.75,23.87
Gicumbi,1-Jul-23,48.27,19.69
Gicumbi,1-Aug-23,50.81,15.85
Gicumbi,1-Sep-23,66.22,19.95
Gicumbi,1-Oct-23,40.59,21.51
Gicumbi,1-Nov-23,46.94,25.18
Gicumbi,1-Dec-23,53.53,17.83
Gicumbi,1-Jan-24,56.46,21.95
Gicumbi,1-Feb-24,61.34,13.01
Gicumbi,1-Mar-24,40.87,26.99
Gicumbi,1-Apr-24,34.64,26.25
Gicumbi,1-May-24,51.02,24.89
Gicumbi,1-Jun-24,52.49,27.02
Gicumbi,1-Jul-24,66.55,20.69
Gicumbi,1-Aug-24,44.81,23.53
Gicumbi,1-Sep-24,54.62,26.77
Gicumbi,1-Oct-24,53.71,14.62
Gicumbi,1-Nov-24,35.47,20.54
Gicumbi,1-Dec-24,37.69,22.08
Huye,1-Jan-23,52.67,27.62
Huye,1-Feb-23,46.86,15.72
Huye,1-Mar-23,52.97,26.57
Huye,1-Apr-23,32.21,13.59
Huye,1-May-23,47.51,14.77
Huye,1-Jun-23,46.64,13.59
Huye,1-Jul-23,42.17,21.54
Huye,1-Aug-23,45.12,21.28
Huye,1-Sep-23,52.56,15.28
Huye,1-Oct-23,38.16,26.82
Huye,1-Nov-23,46.78,17.46
Huye,1-Dec-23,35.56,10.66
Huye,1-Jan-24,51.63,22.22
Huye,1-Feb-24,41.07,20.32
Huye,1-Mar-24,56.15,22.85
Huye,1-Apr-24,52.92,25.35
Huye,1-May-24,35.87,32.55
Huye,1-Jun-24,56.58,24.67
Huye,1-Jul-24,57.44,20.4
Huye,1-Aug-24,44.59,23.31
Huye,1-Sep-24,42.87,19.41
Huye,1-Oct-24,58.99,26.32
Huye,1-Nov-24,61.73,28.27
Huye,1-Dec-24,60.81,18.14
Nyanza,1-Jan-23,60.13,16.11
Nyanza,1-Feb-23,53.23,13.46
Nyanza,1-Mar-23,60.78,26.67
Nyanza,1-Apr-23,48.62,24.94
Nyanza,1-May-23,42.57,19.07
Nyanza,1-Jun-23,45.14,12.25
Nyanza,1-Jul-23,47.59,23.65
Nyanza,1-Aug-23,60.6,23.96
Nyanza,1-Sep-23,37.73,19.14
Nyanza,1-Oct-23,54.44,14.3
Nyanza,1-Nov-23,47.19,24.62
Nyanza,1-Dec-23,57.68,25.93
Nyanza,1-Jan-24,34.63,19.8
Nyanza,1-Feb-24,49.09,20.14
Nyanza,1-Mar-24,57.46,17.61
Nyanza,1-Apr-24,63.79,10.34
Nyanza,1-May-24,31.91,16.32
Nyanza,1-Jun-24,41.14,26.35
Nyanza,1-Jul-24,39.76,14.84
Nyanza,1-Aug-24,50.18,12.69
Nyanza,1-Sep-24,35.25,19.26
Nyanza,1-Oct-24,49.56,9.89
Nyanza,1-Nov-24,58.26,17.78
Nyanza,1-Dec-24,52.96,12.25
Rwamagana,1-Jan-23,55.26,25.72
Rwamagana,1-Feb-23,55.58,18.53
Rwamagana,1-Mar-23,62.93,17.04
Rwamagana,1-Apr-23,71.64,23.17
Rwamagana,1-May-23,36.75,18.87
Rwamagana,1-Jun-23,45.05,10.43
Rwamagana,1-Jul-23,37.57,17.95
Rwamagana,1-Aug-23,37.61,13.42
Rwamagana,1-Sep-23,42.54,25.25
Rwamagana,1-Oct-23,44.72,23.89
Rwamagana,1-Nov-23,33.53,24.49
Rwamagana ,1-Dec-23,43.83,22.11
Rwamagana,1-Jan-24,36.7,30.62
Rwamagana,1-Feb-24,39.24,14.98
Rwamagana,1-Mar-24,44.62,17.45
Rwamagana,1-Apr-24,56.28,21.33
Rwamagana,1-May-24,56.59,28.04
Rwamagana,1-Jun-24,37.09,20.95
Rwamagana,1-Jul-24,50.12,12.62
Rwamagana,1-Aug-24,49.25,21.16
Rwamagana,1-Sep-24,41.5,25.83
Rwamagana,1-Oct-24,34.38,20.04
Rwamagana,1-Nov-24,54.49,20.17
Rwamagana,1-Dec-24,45.96,18.35
Nyagatare,1-Jan-23,49.28,27.32
Nyagatare,1-Feb-23,35.8,24.31
Nyagatare,1-Mar-23,43.76,26.55
Nyagatare,1-Apr-23,65.42,9.79
Nyagatare,1-May-23,52.06,19.99
Nyagatare,1-Jun-23,55.17,24.73
Nyagatare,1-Jul-23,64.29,18.9
Nyagatare,1-Aug-23,57.88,12.37
Nyagatare,1-Sep-23,55.02,16.92
Nyagatare,1-Oct-23,50.54,29.29
Nyagatare,1-Nov-23,55.37,19.18
Nyagatare,1-Dec-23,65.67,20.17
Nyagatare,1-Jan-24,46.77,26.68
Nyagatare,1-Feb-24,53.81,21.84
Nyagatare,1-Mar-24,60.53,20.33
Nyagatare,1-Apr-24,49.63,33.03
Nyagatare,1-May-24,46.87,19.01
Nyagatare,1-Jun-24,40.69,21.69
Nyagatare,1-Jul-24,47.62,25.8
Nyagatare,1-Aug-24,57.39,21.66
Nyagatare,1-Sep-24,60.49,21.22
Nyagatare,1-Oct-24,46.21,24.92
Nyagatare,1-Nov-24,38.81,22.58
Nyagatare,1-Dec-24,49.75,17.56
Rubavu,1-Jan-23,47.21,12.55
Rubavu,1-Feb-23,60.69,19.16
Rubavu,1-Mar-23,49.45,13.83
Rubavu,1-Apr-23,48.31,23.85
Rubavu,1-May-23,46.95,16.34
Rubavu,1-Jun-23,50.34,22.11
Rubavu,1-Jul-23,51.58,19.34
Rubavu,1-Aug-23,60.48,15.46
Rubavu,1-Sep-23,50.33,26.3
Rubavu,1-Oct-23,60.88,25.53
Rubavu,1-Nov-23,48.81,11.28
Rubavu,1-Dec-23,44.6,16.87
Rubavu,1-Jan-24,45.2,27.79
Rubavu,1-Feb-24,44.35,22.49
Rubavu,1-Mar-24,61.49,25.63
Rubavu,1-Apr-24,38.55,23.22
Rubavu,1-May-24,42.26,19.71
Rubavu,1-Jun-24,52.95,15.26
Rubavu,1-Jul-24,60.63,25.05
Rubavu,1-Aug-24,46.09,22.96
Rubavu,1-Sep-24,65.86,26.75
Rubavu,1-Oct-24,45.67,26.25
Rubavu,1-Nov-24,50.39,22.79
Rubavu,1-Dec-24,43.23,24.42
